No.,Habitaciones (X1),Baños (X2),Estrato (X3),Antigüedad (X4),Área Construida (X5),Precio (Y)
1,1,2,4,2,62,1200000
2,1,2,6,3,105,3240000
3,2,2,6,1,64,2280000
4,4,5,6,2,172,5088000
5,3,2,5,3,125.97,2016000
6,2,2,3,3,55,1272000
7,3,3,4,3,80.23,1728000
8,2,2,6,2,70,1632000
9,3,2,5,3,78,1704000
10,3,2,5,4,73,1296000
11,3,3,4,4,86,1320000
12,2,2,4,4,49,960000
13,3,2,5,2,86.78,2832000
14,5,5,4,5,297,3120000
15,3,2,5,2,110,3062400
16,3,3,5,3,84,1896000
17,4,5,6,3,257,5280000
18,1,1,5,2,30,864000
19,3,4,5,5,235,4704000
20,3,5,6,3,250,8880000
21,3,2,3,2,50,1008000
22,2,2,4,4,54,1272000
23,4,3,4,4,86,1430400
24,3,2,5,2,75,1680000
25,1,2,4,2,62,1200000
26,1,2,6,3,105,3240000
27,3,2,5,2,86.78,2832000
28,3,2,3,2,50,1008000
29,3,3,4,3,80.23,1728000
30,4,3,4,4,86,1430400
31,5,5,4,5,297,3120000
32,2,2,6,2,70,1632000
33,4,5,6,3,257,5280000
34,2,2,4,4,49,960000
35,2,2,6,1,64,2280000
36,3,2,5,3,78,1704000
37,3,2,5,4,73,1296000
38,3,4,5,5,235,4704000
39,4,5,6,2,172,5088000
40,3,3,5,3,84,1896000
41,3,5,6,3,250,8880000
42,3,2,5,2,75,1680000
43,3,3,4,4,86,1320000
44,3,2,5,3,125.97,2016000
45,1,1,5,2,30,864000
46,2,2,4,4,54,1272000
47,3,2,5,2,110,3062400
48,2,2,3,3,55,1272000
49,1,2,4,2,62,1200000
50,1,2,6,3,105,3240000
51,3,4,6,2,145,4488000
52,3,2,4,3,55,1416000
53,4,5,6,3,215,4281600
54,2,2,6,2,70,1632000
55,3,2,5,4,73,1680000
56,3,2,5,4,86,1776000
57,3,2,6,4,102,2544000
58,3,4,5,3,215,5760000
59,3,2,6,3,95,2880000
60,2,2,3,3,52,1416000
61,3,2,5,4,90,2016000
62,3,1,3,2,65,1166400
63,2,2,4,1,50,1536000
64,3,4,6,5,214,4704000
65,1,2,4,2,62,1200000
66,1,2,6,3,105,3240000
67,2,1,3,2,40,624000
68,3,3,5,2,96,2160000
69,3,2,5,3,89,2054400
70,3,3,6,4,77,2064000
71,3,2,5,3,72,2016000
72,2,2,6,2,70,1632000
73,3,4,5,1,165,5280000
74,2,1,4,3,45,960000
75,4,3,6,4,120,2255520
76,3,2,3,2,53,1084800
77,3,2,3,3,62,1344000
78,2,1,2,1,65,432000
79,4,2,5,4,105,2256000
80,3,3,6,3,97,2448000
81,3,2,3,5,156,1704000
82,1,1,4,3,31,648000
83,2,3,6,5,119,2491200
84,2,2,5,3,78,1977600
85,2,2,6,2,90,3000000
86,4,4,6,4,248,4560000
87,4,3,6,4,135,2832000
88,3,2,5,2,103,2112000
89,1,2,4,2,62,1200000
90,1,2,6,3,105,3240000
91,3,3,6,4,167,3312000
92,3,2,6,4,127,2976000
93,2,1,3,3,37,662400
94,3,3,5,3,155,3120000
95,2,2,6,2,70,1632000
96,3,2,4,2,55,1056000
97,3,1,3,4,70,1056000
98,3,3,6,4,117,2256000
99,3,2,3,2,139,1296000
100,2,3,6,2,104,4225440
101,2,2,4,2,132,2304000
102,3,2,4,3,68,1392000
103,3,3,6,3,162,3360000
104,2,1,3,2,37,609600
105,4,4,6,4,117,3528000
106,1,2,4,2,62,1200000
107,1,2,6,3,105,3240000
108,2,1,3,3,39,508800
109,2,2,5,3,79,2256000
110,2,2,3,3,50.83,1056000
111,3,3,5,1,123,3360000
112,3,2,4,2,82,1680000
113,2,2,6,2,70,1632000
114,3,3,6,4,117,2256000
115,20,2,4,4,67,1152000
116,3,2,4,2,67,1104000
117,2,1,4,3,52,1176000
118,4,3,5,5,99,1728000
119,2,1,4,4,50,1224000
120,1,1,6,3,40,1440000
121,3,4,6,2,134,3504000
122,3,2,5,2,102,2400000
123,4,5,6,3,150,4128000
124,3,3,5,3,112,2640000
125,3,3,4,5,199,2160000
126,3,2,5,2,85,2016000
127,5,6,6,4,627,14400000
128,2,2,4,4,54,1272000
129,3,2,5,5,132,2784000
130,3,1,3,2,47,864000
131,3,2,5,3,75,1536000
132,3,2,4,2,63,1416000
133,3,2,4,2,105,2340000
134,3,4,6,4,132,2640000
135,2,2,6,3,89,1872000
136,3,2,4,4,98,1248000
137,3,5,6,2,342,14400000
138,2,4,6,2,143,4704000
139,3,2,5,3,84,1680000
140,3,4,6,3,150,4080000
141,3,2,3,3,90,1368000
142,2,2,6,3,90,3000000
143,2,2,5,5,71.5,1632000
144,3,4,6,2,111,4032000
145,4,3,5,3,98,2328000
146,2,3,5,2,85,3024000
147,2,1,3,3,40,705600
148,4,4,6,4,126,2712000
149,3,2,3,4,57,864000
150,1,2,6,2,55,2064000
151,2,2,4,2,100,2640000
152,1,2,4,2,62,1200000
153,1,2,6,3,105,3240000
154,4,3,4,4,109,1536000
155,2,1,5,4,66,1536000
156,3,3,5,5,165,3168000
157,2,2,6,2,70,1632000
158,3,2,5,2,88,2448000
159,3,2,4,2,76,1944000
160,2,3,6,2,94,3024000
161,3,2,4,2,57,1185600
162,3,2,5,2,67,1656000
163,3,3,6,3,150,4080000
164,3,2,5,2,84,2088000
165,1,1,6,2,40,1488000
166,3,2,6,4,99.66,2448000
167,5,3,6,3,138,2976000
168,2,2,4,2,75,2030400
169,2,3,6,5,119,2491200
170,3,4,6,3,150,4080000
171,4,5,6,2,147.8,4320000
172,3,2,6,1,76.54,2544000
173,2,2,4,4,54,1272000
174,3,2,5,5,132,2784000
175,3,1,3,2,47,864000
176,3,4,6,2,135,4320000
177,3,2,5,3,80,2064000
178,3,3,6,4,155,3336000
179,3,2,5,3,77,1809600
180,2,2,6,3,89,1872000
181,3,2,4,3,84,2232000
182,3,2,6,3,70,1872000
183,3,2,5,2,84,2390400
184,3,2,5,2,87,2832000
185,4,5,6,4,342,7680000
186,2,2,4,2,55,1320000
187,3,2,3,5,78,1056000
188,5,6,6,3,368,7910400
189,3,3,6,2,160,7680000
190,2,2,6,2,65,2256000
191,3,3,6,3,104,3297600
192,2,2,4,4,54,1272000
193,3,2,5,5,132,2784000
194,3,1,3,2,47,864000
195,3,2,3,2,57,864000
196,2,1,3,2,39,696000
197,3,3,6,2,104,3216000
198,2,2,6,3,89,1872000
199,3,2,4,3,98,2340000
200,3,2,6,3,104,3297600
201,1,1,6,4,28,1248000
